ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000007777,ENSMUSG00000007777,0610009B22Rik,-0.120085014,3.528966444,0.472967528,0.491625125,1,66050,Trappc2b,-0.120085014,FALSE
ENSMUSG00000086714,ENSMUSG00000086714,0610009E02Rik,0.291237169,-0.504607808,0.510291537,0.475012679,1,100125929,0610009E02Rik,0.291237169,FALSE
ENSMUSG00000043644,ENSMUSG00000043644,0610009L18Rik,0.065906095,1.184925625,0.06033161,0.805972584,1,66838,0610009L18Rik,0.065906095,FALSE
ENSMUSG00000024442,ENSMUSG00000024442,0610009O20Rik,0.17867419,5.471881364,2.409693064,0.120586007,1,66839,Dele1,0.17867419,FALSE
ENSMUSG00000042208,ENSMUSG00000042208,0610010F05Rik,0.042271453,4.743329522,0.124231877,0.724489243,1,71675,Sanbr,0.042271453,FALSE
ENSMUSG00000020831,ENSMUSG00000020831,0610010K14Rik,0.013403856,1.632920697,0.002391533,0.960996354,1,104457,0610010K14Rik,0.013403856,FALSE
ENSMUSG00000107002,ENSMUSG00000107002,0610012G03Rik,-0.168060213,4.503308747,1.712235586,0.190695571,1,106264,Ncbp2as2,-0.168060213,FALSE
ENSMUSG00000058706,ENSMUSG00000058706,0610030E20Rik,0.036099374,5.431306265,0.091539299,0.762229301,1,68364,0610030E20Rik,0.036099374,FALSE
ENSMUSG00000028608,ENSMUSG00000028608,0610037L13Rik,0.030931281,5.063508369,0.066129572,0.797057803,1,74098,Czib,0.030931281,FALSE
ENSMUSG00000097882,ENSMUSG00000097882,0610038B21Rik,-0.016219938,-0.106064246,0.001760814,0.966528949,1,70345,0610038B21Rik,-0.016219938,FALSE
ENSMUSG00000058812,ENSMUSG00000058812,0610039K10Rik,0.739242076,-0.192576663,2.959124461,0.085394169,1,68386,0610039K10Rik,0.739242076,FALSE
ENSMUSG00000060512,ENSMUSG00000060512,0610040J01Rik,-0.063051533,4.030471551,0.164477249,0.685067432,1,76261,0610040J01Rik,-0.063051533,FALSE
ENSMUSG00000026621,ENSMUSG00000026621,1-Mar,0.437959458,-0.555916782,0.981899877,0.321730207,1,66112,Mtarc1,0.437959458,FALSE
ENSMUSG00000000486,ENSMUSG00000000486,1-Sep,0.506073905,4.108892045,8.359148454,0.003837504,0.737264821,100043580,Septin1,0.506073905,TRUE
ENSMUSG00000078627,ENSMUSG00000078627,10-Mar,-0.227619891,0.141717163,0.345047128,0.556930311,1,632687,Marchf10,-0.227619891,FALSE
ENSMUSG00000019917,ENSMUSG00000019917,10-Sep,-0.075140767,4.772563997,0.351329771,0.553361343,1,103080,Septin10,-0.075140767,FALSE
ENSMUSG00000058013,ENSMUSG00000058013,11-Sep,-0.136146731,6.890486069,1.702438666,0.191969361,1,52398,Septin11,-0.136146731,FALSE
ENSMUSG00000090066,ENSMUSG00000090066,1110002E22Rik,0.457954078,1.243538668,0.647349918,0.421061749,1,102634333,1110002E22Rik,0.457954078,FALSE
ENSMUSG00000071456,ENSMUSG00000071456,1110002L01Rik,-0.074373314,1.813934369,0.111820302,0.738081189,1,100043040,1110002L01Rik,-0.074373314,FALSE
ENSMUSG00000022972,ENSMUSG00000022972,1110004E09Rik,-0.183723907,5.0710987,2.001240092,0.157170574,1,68001,Cfap298,-0.183723907,FALSE
ENSMUSG00000030663,ENSMUSG00000030663,1110004F10Rik,0.000126169,6.144949849,1.59E-06,0.99899462,1,56372,1110004F10Rik,0.000126169,FALSE
ENSMUSG00000107121,ENSMUSG00000107121,1110006O24Rik,0.688428623,-0.417523162,3.268048188,0.070641624,1,66123,1110006O24Rik,0.688428623,FALSE
ENSMUSG00000027637,ENSMUSG00000027637,1110008F13Rik,-0.144193955,5.621849474,1.383171404,0.23956168,1,67388,Rab5if,-0.144193955,FALSE
ENSMUSG00000021023,ENSMUSG00000021023,1110008L16Rik,-0.110768567,3.064867181,0.37386353,0.540905808,1,66132,Prorp,-0.110768567,FALSE
ENSMUSG00000039195,ENSMUSG00000039195,1110008P14Rik,-0.15630817,4.159453529,0.852088698,0.355962126,1,73737,Bbln,-0.15630817,FALSE
ENSMUSG00000045237,ENSMUSG00000045237,1110012L19Rik,-0.012482662,3.365439807,0.005563476,0.940541956,1,68618,Eola1,-0.012482662,FALSE
ENSMUSG00000028441,ENSMUSG00000028441,1110017D15Rik,-0.171320235,4.339342061,1.675001598,0.195589949,1,73721,Spmip6,-0.171320235,FALSE
ENSMUSG00000097047,ENSMUSG00000097047,1110020A21Rik,0.258696634,-0.171265821,0.39629139,0.529010779,1,68531,1110020A21Rik,0.258696634,FALSE
ENSMUSG00000037971,ENSMUSG00000037971,1110032A03Rik,-0.017852347,4.490808198,0.019247655,0.889658834,1,68721,Cfap68,-0.017852347,FALSE
ENSMUSG00000044991,ENSMUSG00000044991,1110034G24Rik,0.094970383,2.615626075,0.249887643,0.617154202,1,73747,Shld1,0.094970383,FALSE
ENSMUSG00000092203,ENSMUSG00000092203,1110038B12Rik,-0.053468248,2.718153266,0.06594271,0.797338476,1,68763,1110038B12Rik,-0.053468248,FALSE
ENSMUSG00000063236,ENSMUSG00000063236,1110038F14Rik,0.021021571,4.57056533,0.027177853,0.869056483,1,117171,1110038F14Rik,0.021021571,FALSE
ENSMUSG00000085457,ENSMUSG00000085457,1110046J04Rik,-0.238695603,1.336702694,0.964319263,0.326101036,1,68808,1110046J04Rik,-0.238695603,FALSE
ENSMUSG00000040591,ENSMUSG00000040591,1110051M20Rik,-0.045986875,4.364807317,0.123955546,0.724783359,1,228356,Cstpp1,-0.045986875,FALSE
ENSMUSG00000035171,ENSMUSG00000035171,1110059E24Rik,-0.055286324,4.596555227,0.18126827,0.670285568,1,66206,1110059E24Rik,-0.055286324,FALSE
ENSMUSG00000032551,ENSMUSG00000032551,1110059G10Rik,0.031114001,4.002206579,0.052131339,0.819395237,1,66202,1110059G10Rik,0.031114001,FALSE
ENSMUSG00000078570,ENSMUSG00000078570,1110065P20Rik,-0.029041308,3.345532884,0.03263594,0.85663901,1,68920,1110065P20Rik,-0.029041308,FALSE
ENSMUSG00000045414,ENSMUSG00000045414,1190002N15Rik,0.067160824,6.886635352,0.276373349,0.599088165,1,68861,Dipk2a,0.067160824,FALSE
ENSMUSG00000043687,ENSMUSG00000043687,1190005I06Rik,-0.488841925,-0.26070813,1.873731608,0.171048305,1,68918,1190005I06Rik,-0.488841925,FALSE
ENSMUSG00000063320,ENSMUSG00000063320,1190007I07Rik,-0.044602103,1.410933758,0.026036694,0.871810737,1,544717,Uqcc6,-0.044602103,FALSE
ENSMUSG00000097290,ENSMUSG00000097290,1300002E11Rik,0.090919802,4.026106464,0.316421626,0.573766094,1,100043489,1300002E11Rik,0.090919802,FALSE
ENSMUSG00000098912,ENSMUSG00000098912,1500004A13Rik,0.152659234,2.167727085,0.433779336,0.510140289,1,319830,1500004A13Rik,0.152659234,FALSE
ENSMUSG00000087651,ENSMUSG00000087651,1500009L16Rik,-0.361079158,1.464058483,1.71458668,0.190391352,1,69784,1500009L16Rik,-0.361079158,FALSE
ENSMUSG00000072694,ENSMUSG00000072694,1500011B03Rik,0.184363161,3.296033203,1.186980029,0.275939568,1,330173,1500011B03Rik,0.184363161,FALSE
ENSMUSG00000051319,ENSMUSG00000051319,1500011K16Rik,-0.25951411,4.134127065,3.776677291,0.05197177,1,67885,Mtln,-0.25951411,FALSE
ENSMUSG00000098702,ENSMUSG00000098702,1500015A07Rik,0.25549978,1.934411128,1.130994211,0.287563371,1,68982,1500015A07Rik,0.25549978,FALSE
ENSMUSG00000026051,ENSMUSG00000026051,1500015O10Rik,-0.210314762,-0.152728522,0.249291307,0.617574532,1,78896,Ecrg4,-0.210314762,FALSE
ENSMUSG00000059631,ENSMUSG00000059631,1500035N22Rik,-0.151041394,0.550853943,0.293915416,0.587722296,1,70258,1500035N22Rik,-0.151041394,FALSE
ENSMUSG00000035595,ENSMUSG00000035595,1600002K03Rik,-0.122661276,2.325511433,0.348986306,0.554687519,1,69770,Fam174c,-0.122661276,FALSE
ENSMUSG00000101585,ENSMUSG00000101585,1600010M07Rik,-0.496949959,-0.008053362,1.532502413,0.215737265,1,69781,1600010M07Rik,-0.496949959,FALSE
ENSMUSG00000050088,ENSMUSG00000050088,1600012H06Rik,-0.051866976,5.391477087,0.267422732,0.605065888,1,67912,1600012H06Rik,-0.051866976,FALSE
ENSMUSG00000054676,ENSMUSG00000054676,1600014C10Rik,-0.182011401,4.589051285,2.188218035,0.139070127,1,72244,1600014C10Rik,-0.182011401,FALSE
ENSMUSG00000029182,ENSMUSG00000029182,1700001C02Rik,-0.062802155,2.57765647,0.086485891,0.768693078,1,75434,Cimip2c,-0.062802155,FALSE
ENSMUSG00000021534,ENSMUSG00000021534,1700001L19Rik,-0.113248859,1.870612361,0.230438884,0.631198593,1,69315,Cfap90,-0.113248859,FALSE
ENSMUSG00000044320,ENSMUSG00000044320,1700001O22Rik,0.078106375,0.410232726,0.058644505,0.808651326,1,73598,1700001O22Rik,0.078106375,FALSE
ENSMUSG00000030030,ENSMUSG00000030030,1700003E16Rik,-0.081476235,2.975569122,0.172737062,0.677690662,1,71837,1700003E16Rik,-0.081476235,FALSE
ENSMUSG00000057816,ENSMUSG00000057816,1700007G11Rik,0.120951034,2.185488523,0.344171487,0.557431201,1,75784,Cfap299,0.120951034,FALSE
ENSMUSG00000086330,ENSMUSG00000086330,1700007J10Rik,0.210947061,0.372194353,0.305382716,0.580527454,1,69320,1700007J10Rik,0.210947061,FALSE
ENSMUSG00000026831,ENSMUSG00000026831,1700007K13Rik,-0.31601738,3.941069312,2.595367147,0.107176601,1,69327,Pierce1,-0.31601738,FALSE
ENSMUSG00000101225,ENSMUSG00000101225,1700008J07Rik,-0.028550247,1.681924458,0.014255206,0.904962289,1,629159,1700008J07Rik,-0.028550247,FALSE
ENSMUSG00000023873,ENSMUSG00000023873,1700010I14Rik,-0.285270819,0.684319542,0.779740651,0.37722047,1,66931,1700010I14Rik,-0.285270819,FALSE
ENSMUSG00000031927,ENSMUSG00000031927,1700012B09Rik,-0.065615583,0.61642371,0.060135571,0.806281794,1,69325,1700012B09Rik,-0.065615583,FALSE
ENSMUSG00000110424,ENSMUSG00000110424,1700012D14Rik,0.070838052,0.816388663,0.054587706,0.815264377,1,75479,Zbed5-ps,0.070838052,FALSE
ENSMUSG00000027886,ENSMUSG00000027886,1700013F07Rik,-0.190238062,1.685008553,0.591600715,0.441800799,1,75504,Cfap276,-0.190238062,FALSE
ENSMUSG00000053783,ENSMUSG00000053783,1700016K19Rik,-0.150849081,3.487238877,0.83620267,0.360485072,1,74230,Liat1,-0.150849081,FALSE
ENSMUSG00000032300,ENSMUSG00000032300,1700017B05Rik,-0.009124343,5.146036767,0.003933787,0.949989541,1,74211,1700017B05Rik,-0.009124343,FALSE
ENSMUSG00000038408,ENSMUSG00000038408,1700018A04Rik,0.564569007,0.367638169,2.993717746,0.083588061,1,71307,1700018A04Rik,0.564569007,FALSE
ENSMUSG00000043629,ENSMUSG00000043629,1700019D03Rik,0.500957018,0.79132781,2.442516359,0.118086658,1,67080,1700019D03Rik,0.500957018,FALSE
ENSMUSG00000035085,ENSMUSG00000035085,1700020L24Rik,0.355628977,1.944743469,1.298519774,0.254483781,1,66330,1700020L24Rik,0.355628977,FALSE
ENSMUSG00000100253,ENSMUSG00000100253,1700020N18Rik,0.016870784,1.303601164,0.002619764,0.959179192,1,67086,1700020N18Rik,0.016870784,FALSE
ENSMUSG00000019797,ENSMUSG00000019797,1700021F05Rik,-0.067110991,3.154709106,0.135073838,0.713228247,1,67851,Mtres1,-0.067110991,FALSE
ENSMUSG00000107053,ENSMUSG00000107053,1700021F13Rik,0.618887686,-0.714942578,2.039291455,0.15328103,1,433945,1700021F13Rik,0.618887686,FALSE
ENSMUSG00000097523,ENSMUSG00000097523,1700022N22Rik,0.61164519,-0.947170456,1.678351166,0.195143688,1,69431,1700022N22Rik,0.61164519,FALSE
ENSMUSG00000072473,ENSMUSG00000072473,1700024G13Rik,-0.006792558,2.376277018,0.001109406,0.97342918,1,67085,1700024G13Rik,-0.006792558,FALSE
ENSMUSG00000032666,ENSMUSG00000032666,1700025G04Rik,-0.010959452,4.940412465,0.005486331,0.940954866,1,69399,1700025G04Rik,-0.010959452,FALSE
ENSMUSG00000063838,ENSMUSG00000063838,1700027J19Rik,0.097876738,2.91759089,0.267081503,0.605296278,1,58804,Cdc42ep5,0.097876738,FALSE
ENSMUSG00000097321,ENSMUSG00000097321,1700028E10Rik,0.380318849,0.34725114,1.263490042,0.260991506,1,100042166,1700028E10Rik,0.380318849,FALSE
ENSMUSG00000033053,ENSMUSG00000033053,1700028P14Rik,0.059493702,1.274949357,0.053761862,0.816642059,1,67483,Cfap95,0.059493702,FALSE
ENSMUSG00000044916,ENSMUSG00000044916,1700029I15Rik,-0.253082978,0.359794967,0.58090047,0.445959582,1,75641,Frey1,-0.253082978,FALSE
ENSMUSG00000071103,ENSMUSG00000071103,1700029J07Rik,0.103157325,2.800987082,0.248335868,0.618249289,1,69479,Cfap96,0.103157325,FALSE
ENSMUSG00000099759,ENSMUSG00000099759,1700030C10Rik,0.598003084,1.667169846,5.188512534,0.022736669,1,69513,1700030C10Rik,0.598003084,TRUE
ENSMUSG00000031847,ENSMUSG00000031847,1700030J22Rik,0.121300659,2.187092757,0.269105267,0.603932599,1,69528,1700030J22Rik,0.121300659,FALSE
ENSMUSG00000052794,ENSMUSG00000052794,1700030K09Rik,0.069517896,2.827364072,0.150058933,0.698479046,1,72254,1700030K09Rik,0.069517896,FALSE
ENSMUSG00000055833,ENSMUSG00000055833,1700034H15Rik,0.264242987,0.262779682,0.501171498,0.478985828,1,98736,1700034H15Rik,0.264242987,FALSE
ENSMUSG00000005983,ENSMUSG00000005983,1700037C18Rik,-0.084184456,1.794997835,0.125241393,0.723417869,1,105246059,1700037C18Rik,-0.084184456,FALSE
ENSMUSG00000027327,ENSMUSG00000027327,1700037H04Rik,0.006333962,4.42788464,0.002515085,0.960002357,1,67326,Adissp,0.006333962,FALSE
ENSMUSG00000085637,ENSMUSG00000085637,1700048M11Rik,-0.090934335,-0.865080942,0.02784745,0.86746797,1,100503166,1700048M11Rik,-0.090934335,FALSE
ENSMUSG00000043773,ENSMUSG00000043773,1700048O20Rik,-0.119321873,0.150262903,0.10198587,0.749459403,1,69430,1700048O20Rik,-0.119321873,FALSE
ENSMUSG00000044854,ENSMUSG00000044854,1700056E22Rik,0.225781932,-0.506963358,0.287558431,0.59178941,1,73363,1700056E22Rik,0.225781932,FALSE
ENSMUSG00000024209,ENSMUSG00000024209,1700061G19Rik,-0.155505154,-0.28940761,0.199390507,0.655213262,1,78625,Acsbg3,-0.155505154,FALSE
ENSMUSG00000073598,ENSMUSG00000073598,1700066B19Rik,-0.504342011,-0.363049668,1.542381014,0.214263744,1,73449,Smim33,-0.504342011,FALSE
ENSMUSG00000038323,ENSMUSG00000038323,1700066M21Rik,-0.080329307,3.11512854,0.20702211,0.649111524,1,73467,1700066M21Rik,-0.080329307,FALSE
ENSMUSG00000090307,ENSMUSG00000090307,1700071M16Rik,0.052833327,-0.310653993,0.016742856,0.897045747,1,73504,1700071M16Rik,0.052833327,FALSE
ENSMUSG00000097080,ENSMUSG00000097080,1700086O06Rik,0.021308596,1.387138869,0.006696367,0.934780841,1,73516,1700086O06Rik,0.021308596,FALSE
ENSMUSG00000033029,ENSMUSG00000033029,1700088E04Rik,0.053427153,2.623926146,0.0764443,0.7821751,1,27660,1700088E04Rik,0.053427153,FALSE
ENSMUSG00000085407,ENSMUSG00000085407,1700095J03Rik,0.463373032,-0.033754122,1.572314512,0.209871209,1,74293,1700095J03Rik,0.463373032,FALSE
ENSMUSG00000101856,ENSMUSG00000101856,1700096K18Rik,0.258304485,1.625849361,1.147828991,0.284004079,1,73571,1700096K18Rik,0.258304485,FALSE
ENSMUSG00000099474,ENSMUSG00000099474,1700097N02Rik,0.29806986,0.599437408,0.959338266,0.327353657,1,67522,1700097N02Rik,0.29806986,FALSE
ENSMUSG00000032611,ENSMUSG00000032611,1700102P08Rik,-0.163074242,-0.550037466,0.193512643,0.660009015,1,112418,1700102P08Rik,-0.163074242,FALSE
ENSMUSG00000008307,ENSMUSG00000008307,1700109H08Rik,0.378848648,0.96802744,1.019983595,0.312522901,1,77036,1700109H08Rik,0.378848648,FALSE
ENSMUSG00000097267,ENSMUSG00000097267,1700109K24Rik,0.723403492,-0.675956227,2.557288119,0.109786763,1,74303,1700109K24Rik,0.723403492,FALSE
ENSMUSG00000096935,ENSMUSG00000096935,1700113A16Rik,0.132988903,0.353912928,0.157130862,0.691811918,1,76642,1700113A16Rik,0.132988903,FALSE
ENSMUSG00000100599,ENSMUSG00000100599,1700120C14Rik,0.431839583,-0.616481978,0.812627725,0.367344502,1,73600,1700120C14Rik,0.431839583,FALSE
ENSMUSG00000040822,ENSMUSG00000040822,1700123O20Rik,-0.014265178,4.469741857,0.012404993,0.911316838,1,58248,1700123O20Rik,-0.014265178,FALSE
ENSMUSG00000100094,ENSMUSG00000100094,1810008I18Rik,-0.238127201,0.633727992,0.411542236,0.521187763,1,100503969,1810008I18Rik,-0.238127201,FALSE
ENSMUSG00000071653,ENSMUSG00000071653,1810009A15Rik,-0.257584801,2.153598599,1.495818609,0.22131586,1,66276,1810009A15Rik,-0.257584801,FALSE
ENSMUSG00000109305,ENSMUSG00000109305,1810010D01Rik,-0.319929761,1.831966029,2.185251604,0.139338292,1,100040049,Smim38,-0.319929761,FALSE
ENSMUSG00000078607,ENSMUSG00000078607,1810010H24Rik,-0.030296242,5.708298379,0.052551431,0.818681616,1,69066,1810010H24Rik,-0.030296242,FALSE
ENSMUSG00000041707,ENSMUSG00000041707,1810011H11Rik,-0.539782306,1.620866667,2.712918176,0.099538755,1,69069,Tmem273,-0.539782306,FALSE
ENSMUSG00000022507,ENSMUSG00000022507,1810013L24Rik,-0.006690475,6.315287566,0.004816629,0.944669689,1,69053,Hapstr1,-0.006690475,FALSE
ENSMUSG00000086390,ENSMUSG00000086390,1810019D21Rik,0.15601262,4.353668807,0.790077848,0.374076587,1,69771,1810019D21Rik,0.15601262,FALSE
ENSMUSG00000089997,ENSMUSG00000089997,1810020O05Rik,-0.890236665,-0.41890218,5.185404826,0.022777365,1,613264,Cfap92,-0.890236665,TRUE
ENSMUSG00000087331,ENSMUSG00000087331,1810021B22Rik,-0.182083387,0.746844931,0.361614906,0.547610723,1,69120,1810021B22Rik,-0.182083387,FALSE
ENSMUSG00000078784,ENSMUSG00000078784,1810022K09Rik,0.004678052,4.402625285,0.001453324,0.969590027,1,69126,Rbis,0.004678052,FALSE
ENSMUSG00000044145,ENSMUSG00000044145,1810024B03Rik,-0.646606014,-0.832500982,1.408734395,0.235266604,1,329509,1810024B03Rik,-0.646606014,FALSE
ENSMUSG00000101970,ENSMUSG00000101970,1810026B05Rik,-0.155004078,4.844804733,1.031833062,0.309728523,1,69170,Chaserr,-0.155004078,FALSE
ENSMUSG00000044148,ENSMUSG00000044148,1810030O07Rik,0.068014536,5.626800642,0.49529939,0.481572843,1,69155,1810030O07Rik,0.068014536,FALSE
ENSMUSG00000020812,ENSMUSG00000020812,1810032O08Rik,0.019261667,2.083428205,0.006726843,0.934632929,1,66293,Snhg16,0.019261667,FALSE
ENSMUSG00000097101,ENSMUSG00000097101,1810034E14Rik,-0.081516684,1.086705224,0.100608678,0.751100416,1,66503,1810034E14Rik,-0.081516684,FALSE
ENSMUSG00000054091,ENSMUSG00000054091,1810037I17Rik,-0.060774231,5.821193711,0.272040314,0.601966385,1,67704,1810037I17Rik,-0.060774231,FALSE
ENSMUSG00000062760,ENSMUSG00000062760,1810041L15Rik,0.322803499,2.864353307,2.577134302,0.108417782,1,72301,Shisal1,0.322803499,FALSE
ENSMUSG00000020284,ENSMUSG00000020284,1810043G02Rik,0.000346697,3.612608427,5.73E-06,0.998089645,1,67884,Cfap410,0.000346697,FALSE
ENSMUSG00000100680,ENSMUSG00000100680,1810044D09Rik,-0.089835553,-0.242688965,0.055567635,0.813643831,1,69798,1810044D09Rik,-0.089835553,FALSE
ENSMUSG00000035372,ENSMUSG00000035372,1810055G02Rik,-0.05539687,4.223530894,0.147950061,0.700502102,1,72056,1810055G02Rik,-0.05539687,FALSE
ENSMUSG00000073155,ENSMUSG00000073155,1810058I24Rik,-0.093081605,5.154679888,0.629479424,0.427546329,1,67705,Stmp1,-0.093081605,FALSE
ENSMUSG00000027713,ENSMUSG00000027713,1810062G17Rik,0.509779114,-0.647676975,1.194456433,0.27443248,1,72282,1810062G17Rik,0.509779114,FALSE
ENSMUSG00000084925,ENSMUSG00000084925,1810062O18Rik,0.184931694,-0.154953708,0.25484228,0.61368593,1,75602,1810062O18Rik,0.184931694,FALSE
ENSMUSG00000090925,ENSMUSG00000090925,1810064F22Rik,-0.132468921,2.258864696,0.357393277,0.549957519,1,69862,1810064F22Rik,-0.132468921,FALSE
ENSMUSG00000073481,ENSMUSG00000073481,2-Mar,-0.070534281,6.049494893,0.560392845,0.454102002,1,67247,Mtarc2,-0.070534281,FALSE
ENSMUSG00000026276,ENSMUSG00000026276,2-Sep,-0.092327878,8.265628981,0.994905053,0.318546484,1,18000,Septin2,-0.092327878,FALSE
ENSMUSG00000087165,ENSMUSG00000087165,2010001A14Rik,0.053852893,1.966970724,0.051450612,0.820558055,1,76516,2010001A14Rik,0.053852893,FALSE
ENSMUSG00000091575,ENSMUSG00000091575,2010016I18Rik,0.270387727,2.652948589,1.109111956,0.292275071,1,69206,2010016I18Rik,0.270387727,FALSE
ENSMUSG00000021290,ENSMUSG00000021290,2010107E04Rik,-0.17324048,4.881198617,2.157040533,0.141917795,1,70257,Atp5mj,-0.17324048,FALSE
ENSMUSG00000063522,ENSMUSG00000063522,2010109I03Rik,0.11795464,2.162602354,0.230468718,0.631176499,1,67038,Ly6m,0.11795464,FALSE
ENSMUSG00000021458,ENSMUSG00000021458,2010111I01Rik,0.11946421,5.253752225,1.194505002,0.274422724,1,72061,Aopep,0.11946421,FALSE
ENSMUSG00000026090,ENSMUSG00000026090,2010300C02Rik,-0.074297502,4.87745877,0.355024971,0.551282307,1,72097,Cracdl,-0.074297502,FALSE
ENSMUSG00000074829,ENSMUSG00000074829,2010315B03Rik,-0.023627236,3.801911108,0.023525957,0.878097247,1,630836,2010315B03Rik,-0.023627236,FALSE
ENSMUSG00000030587,ENSMUSG00000030587,2200002D01Rik,0.072528516,3.839618599,0.118570682,0.7305899,1,72275,2200002D01Rik,0.072528516,FALSE
ENSMUSG00000074217,ENSMUSG00000074217,2210011C24Rik,0.147247921,4.268739964,0.71763424,0.396921019,1,70134,Misp3,0.147247921,FALSE
ENSMUSG00000021550,ENSMUSG00000021550,2210016F16Rik,-0.09095498,4.887223983,0.508333061,0.475861353,1,70153,Qng1,-0.09095498,FALSE
ENSMUSG00000029559,ENSMUSG00000029559,2210016L21Rik,0.015910949,4.652122267,0.015635697,0.900489681,1,72357,2210016L21Rik,0.015910949,FALSE
ENSMUSG00000087380,ENSMUSG00000087380,2210408F21Rik,-0.197123053,1.909656775,0.635976138,0.425171663,1,73652,2210408F21Rik,-0.197123053,FALSE
ENSMUSG00000071252,ENSMUSG00000071252,2210408I21Rik,0.167810326,3.517640749,1.02287405,0.311838245,1,72371,2210408I21Rik,0.167810326,FALSE
ENSMUSG00000032403,ENSMUSG00000032403,2300009A05Rik,0.012049528,2.170143875,0.003220354,0.954745807,1,69478,2300009A05Rik,0.012049528,FALSE
ENSMUSG00000097354,ENSMUSG00000097354,2310001H17Rik,0.304651311,3.030520929,2.136237799,0.143854303,1,76432,2310001H17Rik,0.304651311,FALSE
ENSMUSG00000053353,ENSMUSG00000053353,2310001K24Rik,0.138172171,-0.648083637,0.090255088,0.763853114,1,69517,2310001K24Rik,0.138172171,FALSE
ENSMUSG00000097178,ENSMUSG00000097178,2310002F09Rik,-0.261904437,-0.130226303,0.345726776,0.556542124,1,100504720,2310002F09Rik,-0.261904437,FALSE
ENSMUSG00000028396,ENSMUSG00000028396,2310002L09Rik,-0.303215422,-0.534452006,0.439853517,0.507193165,1,71886,2310002L09Rik,-0.303215422,FALSE
ENSMUSG00000034159,ENSMUSG00000034159,2310007B03Rik,-0.001585373,5.636652776,0.000106439,0.991768441,1,71874,Mab21l4,-0.001585373,FALSE
ENSMUSG00000098332,ENSMUSG00000098332,2310009A05Rik,-0.272427052,2.504176825,1.933747993,0.164348978,1,66364,Pigbos1,-0.272427052,FALSE
ENSMUSG00000079283,ENSMUSG00000079283,2310009B15Rik,-0.040999499,1.787568479,0.027020174,0.869433468,1,69549,2310009B15Rik,-0.040999499,FALSE
ENSMUSG00000097162,ENSMUSG00000097162,2310010J17Rik,-0.195941386,1.092461918,0.485504001,0.485939751,1,78329,2310010J17Rik,-0.195941386,FALSE
ENSMUSG00000020133,ENSMUSG00000020133,2310011J03Rik,-0.04389636,5.219915234,0.125025472,0.723646611,1,66374,2310011J03Rik,-0.04389636,FALSE
ENSMUSG00000070574,ENSMUSG00000070574,2310016G11Rik,0.168303713,0.238422697,0.242730364,0.62224102,1,69578,2310016G11Rik,0.168303713,FALSE
ENSMUSG00000049643,ENSMUSG00000049643,2310022A10Rik,-0.017681352,4.096893121,0.015978239,0.899411298,1,66367,2310022A10Rik,-0.017681352,FALSE
ENSMUSG00000031983,ENSMUSG00000031983,2310022B05Rik,-0.044521623,6.557376818,0.205998591,0.64992191,1,69551,2310022B05Rik,-0.044521623,FALSE
ENSMUSG00000032062,ENSMUSG00000032062,2310030G06Rik,-0.059161075,4.12696989,0.176758879,0.674173533,1,66952,2310030G06Rik,-0.059161075,FALSE
ENSMUSG00000020441,ENSMUSG00000020441,2310033P09Rik,0.032872452,4.036596626,0.04835471,0.825951339,1,67862,2310033P09Rik,0.032872452,FALSE
ENSMUSG00000026319,ENSMUSG00000026319,2310035C23Rik,0.089582956,5.366236058,0.66117825,0.416144285,1,227446,Relch,0.089582956,FALSE
ENSMUSG00000062619,ENSMUSG00000062619,2310039H08Rik,0.054973135,2.332538632,0.068262786,0.79388316,1,67101,2310039H08Rik,0.054973135,FALSE
ENSMUSG00000097768,ENSMUSG00000097768,2310043M15Rik,-0.135601108,-0.352194983,0.09651525,0.756052239,1,102633000,2310043M15Rik,-0.135601108,FALSE
ENSMUSG00000040177,ENSMUSG00000040177,2310057M21Rik,0.001313598,3.57889607,7.31E-05,0.993178816,1,68277,2310057M21Rik,0.001313598,FALSE
ENSMUSG00000085379,ENSMUSG00000085379,2310058D17Rik,0.038415607,1.571257137,0.020883815,0.885095915,1,75694,2310058D17Rik,0.038415607,FALSE
ENSMUSG00000050705,ENSMUSG00000050705,2310061I04Rik,0.012208472,4.148771831,0.007999472,0.928732422,1,69662,2310061I04Rik,0.012208472,FALSE
ENSMUSG00000100084,ENSMUSG00000100084,2310068J16Rik,-0.146632116,-0.774167255,0.121693883,0.727204549,1,70281,2310068J16Rik,-0.146632116,FALSE
ENSMUSG00000045411,ENSMUSG00000045411,2410002F23Rik,0.148651327,4.662706725,1.031361442,0.309839118,1,668661,2410002F23Rik,0.148651327,FALSE
ENSMUSG00000036873,ENSMUSG00000036873,2410004B18Rik,-0.010539385,4.160693206,0.005043318,0.943384764,1,66421,2410004B18Rik,-0.010539385,FALSE
ENSMUSG00000071398,ENSMUSG00000071398,2410004P03Rik,-0.247190006,4.124053043,3.056026076,0.080438173,1,73667,2410004P03Rik,-0.247190006,FALSE
ENSMUSG00000049760,ENSMUSG00000049760,2410015M20Rik,-0.040724083,5.244055173,0.070552309,0.79053431,1,224904,Micos13,-0.040724083,FALSE
