"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000090877","ENSMUSG00000090877","Hspa1b",-3.94508558528823,6.89440281234455,46.8878947936175,7.51655540583626e-12,7.95287451977903e-08
"ENSMUSG00000091971","ENSMUSG00000091971","Hspa1a",-3.6298881880311,6.16245396421697,46.4861975907958,9.22660771480831e-12,7.95287451977903e-08
"ENSMUSG00000033730","ENSMUSG00000033730","Egr3",1.66641149413013,1.92376801241993,39.4458330512248,3.37286704706356e-10,1.64445252728987e-06
"ENSMUSG00000005483","ENSMUSG00000005483","Dnajb1",-1.39909904841904,6.81276171295102,39.2049805957358,3.81565642389899e-10,1.64445252728987e-06
"ENSMUSG00000095170","ENSMUSG00000095170","Ighv8-11",2.24534482753878,3.30482990912078,35.2935344041342,2.83571901952231e-09,9.77699203550903e-06
"ENSMUSG00000028195","ENSMUSG00000028195","Cyr61",1.21985613518263,7.83579786623218,34.4206451316696,4.43988732997986e-09,1.27565362802538e-05
"ENSMUSG00000028410","ENSMUSG00000028410","Dnaja1",-1.13531577206692,8.30082151987464,29.5092340578831,5.56509289055133e-08,0.000133672794199204
"ENSMUSG00000038418","ENSMUSG00000038418","Egr1",1.70127420915359,6.37153860334927,29.1717360741905,6.62384502874686e-08,0.000133672794199204
"ENSMUSG00000029657","ENSMUSG00000029657","Hsph1",-1.95213045373098,7.05883191797457,29.0706340501887,6.97868291544079e-08,0.000133672794199204
"ENSMUSG00000020482","ENSMUSG00000020482","Ccdc117",-0.862443205527346,6.01368840649404,28.5984059265296,8.90554664224082e-08,0.00015352271856559
"ENSMUSG00000100801","ENSMUSG00000100801","Gm15459",-0.996452835714977,5.83829153963537,26.6286545268751,2.46559734626876e-07,0.000386403933202974
"ENSMUSG00000030203","ENSMUSG00000030203","Dusp16",-0.611488363857428,6.15028182923851,26.368685877952,2.8207670839737e-07,0.000399085600728108
"ENSMUSG00000097554","ENSMUSG00000097554","Gm26825",-1.03323550959355,5.70403032524613,26.2435900965416,3.00952074335252e-07,0.000399085600728108
"ENSMUSG00000015656","ENSMUSG00000015656","Hspa8",-0.977124864350434,9.67832069995766,25.6557428510837,4.08079247725759e-07,0.000469503281633546
"ENSMUSG00000034936","ENSMUSG00000034936","Arl4d",-0.844260265831448,4.97330929388316,25.6536397372276,4.08524231365113e-07,0.000469503281633546
"ENSMUSG00000021411","ENSMUSG00000021411","Pxdc1",-0.618866133432921,7.45415663408002,25.2877801386602,4.93827426583253e-07,0.000503687250921249
"ENSMUSG00000009013","ENSMUSG00000009013","Dynll1",-0.616355959008239,7.33039442069206,25.1100126809115,5.41509563300161e-07,0.000503687250921249
"ENSMUSG00000005540","ENSMUSG00000005540","Fcer2a",1.14900941371682,3.69647321231554,25.0916268834376,5.46697282755219e-07,0.000503687250921249
"ENSMUSG00000054499","ENSMUSG00000054499","Dedd2",-0.833049621988191,5.49612850411312,25.0620759348415,5.55139959829672e-07,0.000503687250921249
"ENSMUSG00000038151","ENSMUSG00000038151","Prdm1",0.941399974907752,4.65126577652195,24.411241226138,7.78133217824932e-07,0.0006707119271042
"ENSMUSG00000053113","ENSMUSG00000053113","Socs3",-0.785793615229684,6.02510544109276,24.1112250082218,9.09287138740408e-07,0.000746438142130757
"ENSMUSG00000032575","ENSMUSG00000032575","Manf",-0.658874776823448,6.66738210597061,23.2492605640553,1.42305150685963e-06,0.00111509022394333
"ENSMUSG00000020288","ENSMUSG00000020288","Ahsa2",-1.07646952562283,4.65826179358979,23.0019215966193,1.61839551436385e-06,0.00116578888345591
"ENSMUSG00000037465","ENSMUSG00000037465","Klf10",-0.735193040758774,6.01673102318939,22.9964572814892,1.62300210006044e-06,0.00116578888345591
"ENSMUSG00000014226","ENSMUSG00000014226","Cacybp",-0.92630371430478,5.95193497076088,22.6547322589905,1.93882115638812e-06,0.00133693351659899
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",-1.22916267806956,7.27399106677621,22.5352930602991,2.06317998433623e-06,0.00136796768269124
"ENSMUSG00000098973","ENSMUSG00000098973","Mir6236",-1.40645321026433,4.35426323143145,21.6906803311265,3.20343827895657e-06,0.00204533601818268
"ENSMUSG00000029817","ENSMUSG00000029817","Tra2a",-0.445346805346011,6.70664218082465,21.23868343933,4.05497375951711e-06,0.00239468773434688
"ENSMUSG00000019916","ENSMUSG00000019916","P4ha1",-0.671279024691151,7.00269637393024,21.2272326504506,4.07927131703576e-06,0.00239468773434688
"ENSMUSG00000030357","ENSMUSG00000030357","Fkbp4",-0.726958930185284,7.45295488390344,21.1722994743207,4.19788193335696e-06,0.00239468773434688
"ENSMUSG00000104213","ENSMUSG00000104213","Ighd",1.39972485330719,4.62205159475267,21.123458143093,4.30624280786317e-06,0.00239468773434688
"ENSMUSG00000001774","ENSMUSG00000001774","Chordc1",-0.828164025529418,6.15764498323285,20.9510072061117,4.71180038219741e-06,0.00253833521214691
"ENSMUSG00000004951","ENSMUSG00000004951","Hspb1",-1.26485752524183,6.72537289532914,20.6711910840947,5.45303068098412e-06,0.00284863017907531
"ENSMUSG00000037887","ENSMUSG00000037887","Dusp8",-0.703502956423213,6.11545126278159,20.5312401023807,5.86659236558346e-06,0.0029745348761851
"ENSMUSG00000021270","ENSMUSG00000021270","Hsp90aa1",-1.02813780436164,9.0418469429857,20.1487032445922,7.16488056040999e-06,0.00352901074231165
"ENSMUSG00000024966","ENSMUSG00000024966","Stip1",-0.864766413979004,6.94478804960028,19.8516767793439,8.36892914124104e-06,0.00400755470738484
"ENSMUSG00000021037","ENSMUSG00000021037","Ahsa1",-0.635820251564863,6.38696072588262,19.3137869083631,1.1090266989316e-05,0.00516716520618429
"ENSMUSG00000014030","ENSMUSG00000014030","Pax5",1.18716224026397,3.99468548093286,19.203036307693,1.17526309228044e-05,0.00533167380205857
"ENSMUSG00000028035","ENSMUSG00000028035","Dnajb4",-0.576236657663865,6.71599619763258,18.9863014171912,1.31660295270423e-05,0.00581972264145337
"ENSMUSG00000030870","ENSMUSG00000030870","Ubfd1",-0.509669245474187,5.53726994748648,18.7409430529413,1.49732799607578e-05,0.00645310933108757
"ENSMUSG00000089774","ENSMUSG00000089774","Slc5a3",-1.06725615249018,4.22196334224796,18.3017465237779,1.88534241074954e-05,0.00792717507778326
"ENSMUSG00000044827","ENSMUSG00000044827","Tlr1",0.903149215460534,2.76175344486887,18.0208110026229,2.18503187595843e-05,0.00896851535943985
"ENSMUSG00000023087","ENSMUSG00000023087","Noct",-0.755791386896596,3.84316831237862,17.741254420751,2.53078245345528e-05,0.0101460834221199
"ENSMUSG00000030847","ENSMUSG00000030847","Bag3",-0.661396324018553,6.52311831660935,17.4753131307181,2.91062745388331e-05,0.0110166429219473
"ENSMUSG00000055994","ENSMUSG00000055994","Nod2",-0.98223075432981,3.35018124100891,17.4505336419075,2.94881497126604e-05,0.0110166429219473
"ENSMUSG00000042474","ENSMUSG00000042474","Fcmr",1.34169676751859,3.48401552457023,17.4478541606228,2.95297435350983e-05,0.0110166429219473
"ENSMUSG00000023034","ENSMUSG00000023034","Nr4a1",1.17656995788278,6.86403321618702,17.4155724780584,3.00355135060922e-05,0.0110166429219473
"ENSMUSG00000025980","ENSMUSG00000025980","Hspd1",-0.594251792379161,7.07660641538129,17.2661660209554,3.24921207077191e-05,0.011669409768341
"ENSMUSG00000074874","ENSMUSG00000074874","Ctla2b",-0.660259817443815,4.34759072451033,17.1747972296536,3.40929600910806e-05,0.0119944599797987
"ENSMUSG00000063060","ENSMUSG00000063060","Sox7",-0.590343977009138,6.2311927707523,16.6292861518899,4.54438782253515e-05,0.0156148364572317
"ENSMUSG00000030878","ENSMUSG00000030878","Cdr2",-0.644622974365517,5.26138887752989,16.5981910571195,4.61950611589312e-05,0.0156148364572317
"ENSMUSG00000054517","ENSMUSG00000054517","Trim65",-0.626550975901249,5.06039747847714,16.5261648993312,4.79833468332791e-05,0.0159074022319019
"ENSMUSG00000046556","ENSMUSG00000046556","Zfp319",-0.431885142990228,5.83112180649336,16.4423932735595,5.01510122896126e-05,0.0163123264313327
"ENSMUSG00000070436","ENSMUSG00000070436","Serpinh1",-0.723128361182981,8.13853401068738,16.3970660361832,5.13646745663954e-05,0.0163976967564831
"ENSMUSG00000028121","ENSMUSG00000028121","Bcar3",-0.4451018632001,6.32485714171243,16.3170135170428,5.35807243712688e-05,0.0167941474079328
